band_index,e_min_MeV,e_max_MeV,e_mid_MeV,flux_ph_cm2_s,fluxerr_lo,fluxerr_hi,nuFnu_erg_cm2_s,nuFnuerr_lo,nuFnuerr_hi
0,50,100,70.71067811865476,4.3974307e-08,-1.4288102e-08,1.531863e-08,6.9604504e-12,2.2615848e-12,2.4247015e-12
1,100,300,173.20508075688772,1.5761605e-08,-1.9812672e-09,2.0061353e-09,3.6310178e-12,4.564266e-13,4.6215554e-13
2,300,1000,547.7225575051662,3.300051e-09,-2.638699e-10,2.638699e-10,2.1144482e-12,1.6906989e-13,1.6906989e-13
3,1000,3000,1732.0508075688772,5.015175e-10,-5.119943e-11,5.40911e-11,1.1197115e-12,1.1431025e-13,1.2076634e-13
4,3000,10000,5477.2255750516615,6.223499e-11,-1.39472765e-11,1.5594973e-11,3.8461684e-13,8.6195204e-14,9.637809e-14
5,10000,30000,17320.508075688773,3.7423615e-12,-2.8956603e-12,4.401151e-12,8.10948e-14,6.274728e-14,9.537039e-14
6,30000,100000,54772.25575051661,1.3927349e-15,nan,2.9171628e-12,8.32025e-17,nan,1.7427238e-13
7,100000,1000000,316227.7660168379,4.693701e-16,nan,2.7436907e-12,5.2543876e-17,nan,3.0714382e-13
